Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	193968	0.000200803336455	0.000551548875034	0.000330680498951	0.000348911496352
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	4412168	0.000196756148506	0.000251293706056	0.000202893875093	0.000245980969094
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4448492	0.00033427368868	0.000956933920389	0.000692066269343	0.000501045058057
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,	174998	0.00136822172489	0.00227050201313	0.0030715669988	0.00132454153685
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	4322986	0.00397553043163	0.0102109206659	0.011829895283	0.00284601568058
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,adolescentis	4347159	0.00204191127292	0.00370728749498	0.00896545287118	0.00160745027723
Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,	359872	0.000543554795452	0.000570708799749	0.00106799448831	0.000375645586994
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila	4306262	0.00459778141555	0.00964925648279	0.0183267710714	0.00321182801128
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,	4449054	0.00501180200521	0.0158056748163	0.0145023998509	0.00551286678019
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,distasonis	4365130	0.00521034826959	0.00587634573317	0.00941170477207	0.00384497240603
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	194449	0.000328998556966	0.00024630214572	0.00114391235744	0.000199315913101
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	194443	0.000202340001902	0.000304829399695	0.000322531147265	0.000238869474941
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,faecis	2532173	0.000470153872675	0.0017736514798	0.00124618762841	0.000779818110845
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4468466	0.000677890772326	0.00154051238682	0.002043041668	0.000656142715522
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	4434334	0.000492026375674	0.00146632676379	0.0027326788339	0.000473480608148
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	2056702	0.000939191071003	0.00164279452448	0.0030928599124	0.000600413551684
